,IVs,rsquared,adj_rsquared,summary
108,"['rpp_2018', 'unemployment_2018', 'gdp_pct_change_2017_2018', 'personal_income_per_capita_pct_change_2017_2018', 'fertility_rate_per_1000_2018']",0.6032444784838387,0.5591605316487096,"                                 OLS Regression Results                                 
========================================================================================
Dep. Variable:     domestic_migration_rate_2018   R-squared:                       0.603
Model:                                      OLS   Adj. R-squared:                  0.559
Method:                           Least Squares   F-statistic:                     13.68
Date:                          Fri, 19 Mar 2021   Prob (F-statistic):           3.94e-08
Time:                                  16:57:59   Log-Likelihood:                -140.64
No. Observations:                            51   AIC:                             293.3
Df Residuals:                                45   BIC:                             304.9
Df Model:                                     5                                         
Covariance Type:                      nonrobust                                         
===================================================================================================================
                                                      coef    std err          t      P>|t|      [0.025      0.975]
-------------------------------------------------------------------------------------------------------------------
const                                              45.4524     11.623      3.911      0.000      22.042      68.863
rpp_2018                                           -0.2921      0.072     -4.073      0.000      -0.436      -0.148
unemployment_2018                                  -1.3526      0.729     -1.855      0.070      -2.821       0.116
gdp_pct_change_2017_2018                            3.2564      0.455      7.156      0.000       2.340       4.173
personal_income_per_capita_pct_change_2017_2018    -1.5053      0.615     -2.446      0.018      -2.745      -0.266
fertility_rate_per_1000_2018                       -0.2565      0.121     -2.112      0.040      -0.501      -0.012
==============================================================================
Omnibus:                        5.704   Durbin-Watson:                   1.701
Prob(Omnibus):                  0.058   Jarque-Bera (JB):                5.092
Skew:                           0.493   Prob(JB):                       0.0784
Kurtosis:                       4.193   Cond. No.                     2.27e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.27e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
124,"['rpp_2018', 'unemployment_2018', '2016_trump_vote', 'gdp_pct_change_2017_2018', 'personal_income_per_capita_pct_change_2017_2018', 'fertility_rate_per_1000_2018']",0.6062929891432324,0.5526056694809458,"                                 OLS Regression Results                                 
========================================================================================
Dep. Variable:     domestic_migration_rate_2018   R-squared:                       0.606
Model:                                      OLS   Adj. R-squared:                  0.553
Method:                           Least Squares   F-statistic:                     11.29
Date:                          Fri, 19 Mar 2021   Prob (F-statistic):           1.33e-07
Time:                                  16:58:00   Log-Likelihood:                -140.44
No. Observations:                            51   AIC:                             294.9
Df Residuals:                                44   BIC:                             308.4
Df Model:                                     6                                         
Covariance Type:                      nonrobust                                         
===================================================================================================================
                                                      coef    std err          t      P>|t|      [0.025      0.975]
-------------------------------------------------------------------------------------------------------------------
const                                              51.2782     15.386      3.333      0.002      20.270      82.286
rpp_2018                                           -0.3393      0.108     -3.128      0.003      -0.558      -0.121
unemployment_2018                                  -1.3781      0.736     -1.872      0.068      -2.861       0.105
2016_trump_vote                                    -5.4884      9.403     -0.584      0.562     -24.439      13.462
gdp_pct_change_2017_2018                            3.2302      0.461      7.013      0.000       2.302       4.158
personal_income_per_capita_pct_change_2017_2018    -1.4379      0.631     -2.280      0.027      -2.709      -0.167
fertility_rate_per_1000_2018                       -0.2324      0.129     -1.801      0.079      -0.493       0.028
==============================================================================
Omnibus:                        5.408   Durbin-Watson:                   1.685
Prob(Omnibus):                  0.067   Jarque-Bera (JB):                4.535
Skew:                           0.512   Prob(JB):                        0.104
Kurtosis:                       4.041   Cond. No.                     3.26e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 3.26e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
110,"['rpp_2018', 'unemployment_2018', 'gdp_pct_change_2017_2018', 'personal_income_per_capita_pct_change_2017_2018', 'married_couple_families_as_share_of_households_2018', 'fertility_rate_per_1000_2018']",0.6038725252748941,0.5498551423578342,"                                 OLS Regression Results                                 
========================================================================================
Dep. Variable:     domestic_migration_rate_2018   R-squared:                       0.604
Model:                                      OLS   Adj. R-squared:                  0.550
Method:                           Least Squares   F-statistic:                     11.18
Date:                          Fri, 19 Mar 2021   Prob (F-statistic):           1.51e-07
Time:                                  16:57:59   Log-Likelihood:                -140.60
No. Observations:                            51   AIC:                             295.2
Df Residuals:                                44   BIC:                             308.7
Df Model:                                     6                                         
Covariance Type:                      nonrobust                                         
=======================================================================================================================
                                                          coef    std err          t      P>|t|      [0.025      0.975]
-----------------------------------------------------------------------------------------------------------------------
const                                                  47.0191     13.158      3.573      0.001      20.501      73.537
rpp_2018                                               -0.2894      0.073     -3.956      0.000      -0.437      -0.142
unemployment_2018                                      -1.4523      0.828     -1.754      0.086      -3.121       0.216
gdp_pct_change_2017_2018                                3.2740      0.465      7.047      0.000       2.338       4.210
personal_income_per_capita_pct_change_2017_2018        -1.4988      0.622     -2.408      0.020      -2.753      -0.245
married_couple_families_as_share_of_households_2018    -4.7208     17.874     -0.264      0.793     -40.743      31.301
fertility_rate_per_1000_2018                           -0.2427      0.133     -1.821      0.075      -0.511       0.026
==============================================================================
Omnibus:                        5.223   Durbin-Watson:                   1.716
Prob(Omnibus):                  0.073   Jarque-Bera (JB):                4.528
Skew:                           0.458   Prob(JB):                        0.104
Kurtosis:                       4.136   Cond. No.                     3.75e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 3.75e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
126,"['rpp_2018', 'unemployment_2018', '2016_trump_vote', 'gdp_pct_change_2017_2018', 'personal_income_per_capita_pct_change_2017_2018', 'married_couple_families_as_share_of_households_2018', 'fertility_rate_per_1000_2018']",0.6062946179293802,0.5422030441039305,"                                 OLS Regression Results                                 
========================================================================================
Dep. Variable:     domestic_migration_rate_2018   R-squared:                       0.606
Model:                                      OLS   Adj. R-squared:                  0.542
Method:                           Least Squares   F-statistic:                     9.460
Date:                          Fri, 19 Mar 2021   Prob (F-statistic):           4.77e-07
Time:                                  16:58:00   Log-Likelihood:                -140.44
No. Observations:                            51   AIC:                             296.9
Df Residuals:                                43   BIC:                             312.3
Df Model:                                     7                                         
Covariance Type:                      nonrobust                                         
=======================================================================================================================
                                                          coef    std err          t      P>|t|      [0.025      0.975]
-----------------------------------------------------------------------------------------------------------------------
const                                                  51.2601     15.623      3.281      0.002      19.754      82.766
rpp_2018                                               -0.3400      0.123     -2.765      0.008      -0.588      -0.092
unemployment_2018                                      -1.3726      0.849     -1.616      0.113      -3.085       0.340
2016_trump_vote                                        -5.5567     10.804     -0.514      0.610     -27.345      16.231
gdp_pct_change_2017_2018                                3.2288      0.477      6.774      0.000       2.268       4.190
personal_income_per_capita_pct_change_2017_2018        -1.4375      0.639     -2.250      0.030      -2.726      -0.149
married_couple_families_as_share_of_households_2018     0.2731     20.474      0.013      0.989     -41.016      41.562
fertility_rate_per_1000_2018                           -0.2329      0.136     -1.716      0.093      -0.507       0.041
==============================================================================
Omnibus:                        5.433   Durbin-Watson:                   1.684
Prob(Omnibus):                  0.066   Jarque-Bera (JB):                4.561
Skew:                           0.514   Prob(JB):                        0.102
Kurtosis:                       4.043   Cond. No.                     4.08e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 4.08e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
76,"['rpp_2018', 'gdp_pct_change_2017_2018', 'personal_income_per_capita_pct_change_2017_2018', 'fertility_rate_per_1000_2018']",0.5729153263560312,0.53577752864786,"                                 OLS Regression Results                                 
========================================================================================
Dep. Variable:     domestic_migration_rate_2018   R-squared:                       0.573
Model:                                      OLS   Adj. R-squared:                  0.536
Method:                           Least Squares   F-statistic:                     15.43
Date:                          Fri, 19 Mar 2021   Prob (F-statistic):           4.50e-08
Time:                                  16:57:59   Log-Likelihood:                -142.52
No. Observations:                            51   AIC:                             295.0
Df Residuals:                                46   BIC:                             304.7
Df Model:                                     4                                         
Covariance Type:                      nonrobust                                         
===================================================================================================================
                                                      coef    std err          t      P>|t|      [0.025      0.975]
-------------------------------------------------------------------------------------------------------------------
const                                              36.9303     10.956      3.371      0.002      14.877      58.983
rpp_2018                                           -0.2845      0.073     -3.873      0.000      -0.432      -0.137
gdp_pct_change_2017_2018                            3.3506      0.464      7.221      0.000       2.417       4.285
personal_income_per_capita_pct_change_2017_2018    -1.5084      0.632     -2.389      0.021      -2.780      -0.237
fertility_rate_per_1000_2018                       -0.2103      0.122     -1.725      0.091      -0.456       0.035
==============================================================================
Omnibus:                        0.979   Durbin-Watson:                   1.692
Prob(Omnibus):                  0.613   Jarque-Bera (JB):                0.366
Skew:                           0.138   Prob(JB):                        0.833
Kurtosis:                       3.311   Cond. No.                     2.08e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.08e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
123,"['rpp_2018', 'unemployment_2018', '2016_trump_vote', 'gdp_pct_change_2017_2018', 'personal_income_per_capita_pct_change_2017_2018']",0.5772752329226767,0.5303058143585296,"                                 OLS Regression Results                                 
========================================================================================
Dep. Variable:     domestic_migration_rate_2018   R-squared:                       0.577
Model:                                      OLS   Adj. R-squared:                  0.530
Method:                           Least Squares   F-statistic:                     12.29
Date:                          Fri, 19 Mar 2021   Prob (F-statistic):           1.54e-07
Time:                                  16:58:00   Log-Likelihood:                -142.26
No. Observations:                            51   AIC:                             296.5
Df Residuals:                                45   BIC:                             308.1
Df Model:                                     5                                         
Covariance Type:                      nonrobust                                         
===================================================================================================================
                                                      coef    std err          t      P>|t|      [0.025      0.975]
-------------------------------------------------------------------------------------------------------------------
const                                              42.9193     15.030      2.856      0.006      12.647      73.191
rpp_2018                                           -0.3435      0.111     -3.092      0.003      -0.567      -0.120
unemployment_2018                                  -1.1461      0.742     -1.544      0.130      -2.642       0.349
2016_trump_vote                                   -10.8919      9.131     -1.193      0.239     -29.282       7.498
gdp_pct_change_2017_2018                            3.2118      0.472      6.807      0.000       2.261       4.162
personal_income_per_capita_pct_change_2017_2018    -1.8292      0.607     -3.016      0.004      -3.051      -0.607
==============================================================================
Omnibus:                        3.711   Durbin-Watson:                   1.684
Prob(Omnibus):                  0.156   Jarque-Bera (JB):                2.650
Skew:                           0.488   Prob(JB):                        0.266
Kurtosis:                       3.543   Cond. No.                     2.83e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 2.83e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
78,"['rpp_2018', 'gdp_pct_change_2017_2018', 'personal_income_per_capita_pct_change_2017_2018', 'married_couple_families_as_share_of_households_2018', 'fertility_rate_per_1000_2018']",0.5761740918334888,0.529082324259432,"                                 OLS Regression Results                                 
========================================================================================
Dep. Variable:     domestic_migration_rate_2018   R-squared:                       0.576
Model:                                      OLS   Adj. R-squared:                  0.529
Method:                           Least Squares   F-statistic:                     12.24
Date:                          Fri, 19 Mar 2021   Prob (F-statistic):           1.63e-07
Time:                                  16:57:59   Log-Likelihood:                -142.32
No. Observations:                            51   AIC:                             296.6
Df Residuals:                                45   BIC:                             308.2
Df Model:                                     5                                         
Covariance Type:                      nonrobust                                         
=======================================================================================================================
                                                          coef    std err          t      P>|t|      [0.025      0.975]
-----------------------------------------------------------------------------------------------------------------------
const                                                  35.0275     11.499      3.046      0.004      11.867      58.188
rpp_2018                                               -0.2910      0.075     -3.890      0.000      -0.442      -0.140
gdp_pct_change_2017_2018                                3.3010      0.475      6.951      0.000       2.344       4.258
personal_income_per_capita_pct_change_2017_2018        -1.5211      0.636     -2.390      0.021      -2.803      -0.239
married_couple_families_as_share_of_households_2018     9.5711     16.271      0.588      0.559     -23.201      42.343
fertility_rate_per_1000_2018                           -0.2451      0.136     -1.798      0.079      -0.520       0.029
==============================================================================
Omnibus:                        1.831   Durbin-Watson:                   1.669
Prob(Omnibus):                  0.400   Jarque-Bera (JB):                0.997
Skew:                           0.236   Prob(JB):                        0.607
Kurtosis:                       3.497   Cond. No.                     3.18e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 3.18e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
92,"['rpp_2018', '2016_trump_vote', 'gdp_pct_change_2017_2018', 'personal_income_per_capita_pct_change_2017_2018', 'fertility_rate_per_1000_2018']",0.5749222236004425,0.5276913595560473,"                                 OLS Regression Results                                 
========================================================================================
Dep. Variable:     domestic_migration_rate_2018   R-squared:                       0.575
Model:                                      OLS   Adj. R-squared:                  0.528
Method:                           Least Squares   F-statistic:                     12.17
Date:                          Fri, 19 Mar 2021   Prob (F-statistic):           1.74e-07
Time:                                  16:57:59   Log-Likelihood:                -142.40
No. Observations:                            51   AIC:                             296.8
Df Residuals:                                45   BIC:                             308.4
Df Model:                                     5                                         
Covariance Type:                      nonrobust                                         
===================================================================================================================
                                                      coef    std err          t      P>|t|      [0.025      0.975]
-------------------------------------------------------------------------------------------------------------------
const                                              41.5189     14.874      2.791      0.008      11.562      71.476
rpp_2018                                           -0.3226      0.111     -2.905      0.006      -0.546      -0.099
2016_trump_vote                                    -4.4453      9.644     -0.461      0.647     -23.870      14.979
gdp_pct_change_2017_2018                            3.3308      0.470      7.086      0.000       2.384       4.277
personal_income_per_capita_pct_change_2017_2018    -1.4539      0.648     -2.244      0.030      -2.759      -0.149
fertility_rate_per_1000_2018                       -0.1901      0.131     -1.456      0.152      -0.453       0.073
==============================================================================
Omnibus:                        0.745   Durbin-Watson:                   1.689
Prob(Omnibus):                  0.689   Jarque-Bera (JB):                0.276
Skew:                           0.156   Prob(JB):                        0.871
Kurtosis:                       3.180   Cond. No.                     3.11e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 3.11e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
109,"['rpp_2018', 'unemployment_2018', 'gdp_pct_change_2017_2018', 'personal_income_per_capita_pct_change_2017_2018', 'married_couple_families_as_share_of_households_2018']",0.5740218677490574,0.5266909641656192,"                                 OLS Regression Results                                 
========================================================================================
Dep. Variable:     domestic_migration_rate_2018   R-squared:                       0.574
Model:                                      OLS   Adj. R-squared:                  0.527
Method:                           Least Squares   F-statistic:                     12.13
Date:                          Fri, 19 Mar 2021   Prob (F-statistic):           1.82e-07
Time:                                  16:57:59   Log-Likelihood:                -142.45
No. Observations:                            51   AIC:                             296.9
Df Residuals:                                45   BIC:                             308.5
Df Model:                                     5                                         
Covariance Type:                      nonrobust                                         
=======================================================================================================================
                                                          coef    std err          t      P>|t|      [0.025      0.975]
-----------------------------------------------------------------------------------------------------------------------
const                                                  37.3549     12.346      3.026      0.004      12.489      62.221
rpp_2018                                               -0.2406      0.070     -3.447      0.001      -0.381      -0.100
unemployment_2018                                      -1.4677      0.849     -1.729      0.091      -3.178       0.242
gdp_pct_change_2017_2018                                3.3286      0.475      7.002      0.000       2.371       4.286
personal_income_per_capita_pct_change_2017_2018        -1.9320      0.590     -3.276      0.002      -3.120      -0.744
married_couple_families_as_share_of_households_2018   -17.4382     16.871     -1.034      0.307     -51.417      16.541
==============================================================================
Omnibus:                        3.005   Durbin-Watson:                   1.772
Prob(Omnibus):                  0.223   Jarque-Bera (JB):                2.007
Skew:                           0.365   Prob(JB):                        0.367
Kurtosis:                       3.642   Cond. No.                     3.25e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 3.25e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
107,"['rpp_2018', 'unemployment_2018', 'gdp_pct_change_2017_2018', 'personal_income_per_capita_pct_change_2017_2018']",0.5639079091624715,0.5259868577852951,"                                 OLS Regression Results                                 
========================================================================================
Dep. Variable:     domestic_migration_rate_2018   R-squared:                       0.564
Model:                                      OLS   Adj. R-squared:                  0.526
Method:                           Least Squares   F-statistic:                     14.87
Date:                          Fri, 19 Mar 2021   Prob (F-statistic):           7.17e-08
Time:                                  16:57:59   Log-Likelihood:                -143.05
No. Observations:                            51   AIC:                             296.1
Df Residuals:                                46   BIC:                             305.8
Df Model:                                     4                                         
Covariance Type:                      nonrobust                                         
===================================================================================================================
                                                      coef    std err          t      P>|t|      [0.025      0.975]
-------------------------------------------------------------------------------------------------------------------
const                                              28.1369      8.544      3.293      0.002      10.938      45.336
rpp_2018                                           -0.2401      0.070     -3.438      0.001      -0.381      -0.100
unemployment_2018                                  -1.0369      0.740     -1.401      0.168      -2.527       0.453
gdp_pct_change_2017_2018                            3.2656      0.472      6.921      0.000       2.316       4.215
personal_income_per_capita_pct_change_2017_2018    -2.0673      0.575     -3.593      0.001      -3.226      -0.909
==============================================================================
Omnibus:                        4.260   Durbin-Watson:                   1.706
Prob(Omnibus):                  0.119   Jarque-Bera (JB):                3.166
Skew:                           0.493   Prob(JB):                        0.205
Kurtosis:                       3.720   Cond. No.                     1.42e+03
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.42e+03. This might indicate that there are
strong multicollinearity or other numerical problems."
