State,rpp_2018,unemployment_2018,2016_trump_vote,gdp_pct_change_2017_2018,personal_income_per_capita_pct_change_2017_2018,married_couple_families_as_share_of_households_2018,fertility_rate_per_1000_2018,domestic_migration_rate_2018,pop_pct_chg_2017_2018
Alabama,85.9,3.9,0.620830924,2.251346202,3.848463737,0.474,58,1.081522166,0.270695208
Alaska,105.7,5.9,0.512815121,0.194601512,5.2312917,0.502,62,-14.58735496,-0.616601325
Arizona,96.4,4.8,0.486716165,3.93829824,4.297046648,0.477,57,11.84520638,1.618623943
Arkansas,84.7,3.7,0.605719057,1.520738891,4.31772377,0.479,57,0.763257439,0.279474702
California,116.2,4.3,0.316171147,3.068593843,4.862066176,0.494,47,-3.940137847,0.261928193
Colorado,101.3,3,0.432509773,4.369849094,5.217696629,0.491,52,7.526913684,1.414890006
Connecticut,105.5,3.9,0.409269144,0.389475691,4.068239664,0.472,44,-6.711438516,-0.049729983
Delaware,98.7,3.7,0.417127445,2.120414997,3.727371611,0.473,47,7.127912264,0.904660528
District of Columbia,115.2,5.7,0.040874745,2.038916604,2.310226904,0.254,41,-0.455439603,0.955668824
Florida,100.7,3.6,0.490219414,3.844845929,4.205503548,0.466,49,6.422015958,1.339005829
Georgia,93.1,4,0.507713261,3.711252961,3.678110649,0.469,47,3.822008415,0.968278623
Hawaii,118.5,2.4,0.30038677,1.436830188,3.423833583,0.516,59,-9.075615838,-0.266780306
Idaho,92,2.8,0.592614324,5.910056978,4.62412993,0.545,59,13.85136197,1.910736065
Illinois,97.8,4.4,0.387617531,2.28211709,4.960669881,0.471,53,-8.91690458,-0.436323268
Indiana,89.2,3.4,0.569400334,2.844697623,4.315262356,0.480,58,0.605680501,0.562009036
Iowa,89.4,2.6,0.511473272,2.28919406,6.542133665,0.491,58,-1.557669048,0.224984482
Kansas,90,3.3,0.566545818,2.418867177,5.010585745,0.504,63,-3.973830587,0.090796014
Kentucky,87.5,4.2,0.625196386,1.574532721,3.345070423,0.484,56,0.050710047,0.199561212
Louisiana,88.5,4.8,0.580886847,2.710697918,5.168901524,0.431,57,-5.953966936,-0.232734404
Maine,100.6,3.1,0.448697533,2.390792768,3.99061529,0.468,51,4.314670215,0.3330556
Maryland,107.7,3.8,0.339093047,0.807255294,2.492151342,0.483,50,-4.038750646,0.198111911
Massachusetts,110.3,3.4,0.328083581,3.449336602,4.282535353,0.467,44,-3.961892021,0.333042314
Michigan,92.3,4.2,0.474975642,2.292925527,3.616966471,0.467,51,-1.667469552,0.109875411
Minnesota,97.7,3,0.449247881,2.914051592,4.602698381,0.503,60,1.175388202,0.718960589
Mississippi,85.6,5,0.579410381,0.97950267,3.890407992,0.444,50,-4.950138453,-0.250626566
Missouri,88.7,3.2,0.567723478,1.945110779,3.853270926,0.476,58,-0.441108174,0.244863403
Montana,92.9,3.8,0.561684974,2.521734542,4.326635314,0.494,50,5.674948312,0.777495482
Nebraska,89.6,2.9,0.587473511,1.172440226,4.893357355,0.496,58,-1.735752732,0.504554667
Nevada,96.8,4.4,0.455006953,4.228749872,5.231350723,0.433,52,15.89062713,1.933933914
New Hampshire,106.4,2.6,0.46458667,2.574555308,3.843768335,0.516,46,2.06050361,0.346830152
New Jersey,116.1,4,0.413503867,1.543345628,3.950968093,0.512,51,-5.756504075,0.00562713
New Mexico,90.5,4.9,0.400425143,2.286746654,5.15276672,0.434,51,-2.506377665,0.045750422
New York,116.7,4.1,0.365156275,2.959585741,2.577174861,0.440,46,-9.266991655,-0.3023088
North Carolina,91.7,4,0.498280947,2.643700772,4.117803838,0.479,48,6.965184441,1.104201667
North Dakota,90.7,2.5,0.629556278,4.2533612,8.282116059,0.468,66,-3.116940798,0.415661071
Ohio,88.5,4.5,0.516876507,2.263407846,4.089281954,0.451,55,-1.052537259,0.14315181
Oklahoma,87.7,3.3,0.653228648,2.682597318,4.430180888,0.482,56,-1.11998258,0.226870595
Oregon,101.8,4,0.390940352,4.62760752,4.930724527,0.484,47,6.645357865,0.923370237
Pennsylvania,97.1,4.4,0.481833363,1.911565459,5.019454535,0.476,51,-1.620333272,0.103858092
Rhode Island,99.9,4.1,0.388980575,0.773407526,2.964526554,0.430,43,-2.619727904,0.247614555
South Carolina,91,3.4,0.549393327,3.142448969,4.07470686,0.465,55,9.960987288,1.252432652
South Dakota,88.1,2.9,0.615307504,2.744443648,8.438329906,0.498,59,0.759320517,0.667913132
Tennessee,89.3,3.5,0.607220337,2.68918618,4.198331991,0.479,53,6.133483873,0.936561074
Texas,96.5,3.9,0.522346856,3.869700142,4.873755766,0.498,54,2.944104061,1.178263945
Utah,96,2.9,0.455380359,5.577390152,5.457485216,0.609,66,5.142781496,1.693237305
Vermont,103.7,2.6,0.302694348,0.863115951,3.50263701,0.470,42,-0.286697707,0.002242354
Virginia,101.6,2.9,0.444066966,2.287763065,3.968408564,0.497,49,-1.098387238,0.445425799
Washington,108.6,4.4,0.368326802,7.161706866,5.583841361,0.502,52,6.309262231,1.353928314
West Virginia,87.7,5.2,0.684987745,3.033270627,6.263908558,0.473,49,-4.411129168,-0.699668245
Wisconsin,91.9,3,0.472181846,3.26895952,4.613723177,0.485,53,-0.150203594,0.297399773
Wyoming,92.3,4,0.681726331,2.191922633,6.712433257,0.507,65,-6.618061584,-0.229733768
